ticker,money
TSLA,0.041763609748000176
FAS,0.047080195281043964
URA,0.0295970949652733
NVDA,0.028809249239422446
TEAM,0.025300467147591495
AVAX-USD,0.022794631233997983
DBE,0.022115066085064597
DG,0.021746227475761225
LLY,0.020920699412067225
ETH-USD,0.020846025209336094
VAW,0.020775897101040223
NOC,0.019979134979999463
UPRO,0.019841034217711606
PGR,0.019209296782006086
WM,0.019010077832289536
GOOG,0.018934646688853505
VIS,0.01828939007939533
UNH,0.018248730980107278
AMD,0.01803307879749307
WOOD,0.017898898469057775
VPU,0.017297423584232374
KDP,0.017070340359904825
VDE,0.016939416374435058
VHT,0.016820997939944283
IWDA.AS,0.016814475470258383
VDC,0.016355223700918953
VFH,0.016298604898168954
META,0.016296138816121346
VTV,0.016184377394554313
L0CK.DE,0.01610054758699916
BTEC.L,0.01603273939755427
2B76.DE,0.015971278710997617
MSFT,0.01576886888574822
DBB,0.01561961601838655
VNQ,0.015466432504344436
FNDX,0.015391620186904034
XAIX.DE,0.015345204465262177
DBA,0.015293129704967495
TQQQ,0.015268096775488677
PYPL,0.015163308424625564
BTC-USD,0.015157996813755325
DBO,0.015157431653251969
AMZN,0.015156220439617205
RENW.DE,0.015116243271995143
AAPL,0.015003123708007
GLD,0.014832260112639422
VLUE,0.014755153001519677
EEM,0.014711028695106305
RWL,0.014678065474184503
VGT,0.014622703776826609
VCR,0.014608900530600015
ADBE,0.014606365271337315
DBMF,0.014466357263598937
QQQ,0.01443685706223155
