ticker,money
TSLA,0.13523492639200962
FAS,0.04531658553304379
URA,0.02783348521727312
NVDA,0.027045639491422267
TEAM,0.023536857399591316
AVAX-USD,0.021031021485997805
DBE,0.02035145633706442
DG,0.019982617727761047
LLY,0.019157089664067047
ETH-USD,0.019082415461335916
VAW,0.019012287353040044
NOC,0.018215525231999284
UPRO,0.018077424469711428
PGR,0.017445687034005907
WM,0.017246468084289358
GOOG,0.017171036940853326
VIS,0.01652578033139515
UNH,0.0164851212321071
AMD,0.01626946904949289
WOOD,0.016135288721057597
VPU,0.015533813836232195
KDP,0.015306730611904648
VDE,0.015175806626434881
VHT,0.015057388191944106
IWDA.AS,0.015050865722258205
VDC,0.014591613952918775
VFH,0.014534995150168775
META,0.014532529068121167
VTV,0.014420767646554136
L0CK.DE,0.014336937838998982
BTEC.L,0.014269129649554093
2B76.DE,0.014207668962997438
MSFT,0.014005259137748043
DBB,0.013856006270386372
VNQ,0.013702822756344258
FNDX,0.013628010438903855
XAIX.DE,0.013581594717261999
DBA,0.013529519956967316
TQQQ,0.013504487027488498
PYPL,0.013399698676625386
BTC-USD,0.013394387065755147
DBO,0.01339382190525179
AMZN,0.013392610691617027
RENW.DE,0.013352633523994965
AAPL,0.013239513960006822
GLD,0.013068650364639244
VLUE,0.012991543253519498
EEM,0.012947418947106127
RWL,0.012914455726184325
VGT,0.01285909402882643
VCR,0.012845290782599836
ADBE,0.012842755523337137
DBMF,0.012702747515598758
QQQ,0.012673247314231372
